order_id,socket.io,websocket,delta
1195813796,1565158728,1565158728,-0.044616938
1195813797,1565158728,1565158728,-0.044616938
1195813798,1565158728,1565158728,-0.044616938
1195813799,1565158728,1565158728,-0.044616938
1195813800,1565158728,1565158728,-0.044616938
1195813801,1565158728,1565158728,-0.044616938
1195813802,1565158728,1565158728,-0.044616938
1195813803,1565158728,1565158728,-0.044616938
1195813804,1565158728,1565158728,-0.044616938
1195813805,1565158728,1565158728,-0.044616938
1195813806,1565158728,1565158728,-0.044616938
1195813807,1565158728,1565158728,-0.044433117
1195813808,1565158728,1565158728,-0.044433117
1195813809,1565158728,1565158728,-0.044433117
1195813810,1565158728,1565158728,-0.044433117
1195813811,1565158728,1565158728,-0.044433117
1195813812,1565158728,1565158728,-0.044433117
1195813813,1565158728,1565158728,-0.044433117
1195813814,1565158728,1565158728,-0.044433117
1195813815,1565158728,1565158728,-0.044433117
1195813816,1565158728,1565158728,-0.044433117
1195813817,1565158728,1565158728,-0.044433117
1195813818,1565158728,1565158728,-0.044433117
1195813819,1565158728,1565158728,-0.044433117
1195813820,1565158728,1565158728,-0.044433117
1195813821,1565158728,1565158728,-0.003362894
1195813822,1565158728,1565158728,-0.007811069
1195813823,1565158728,1565158728,-0.007811069
1195813824,1565158728,1565158728,-0.006643057
1195813825,1565158729,1565158729,-0.001040936
1195813826,1565158729,1565158729,-0.013704062
1195813827,1565158729,1565158729,-0.013704062
1195813828,1565158729,1565158729,-0.013704062
1195813829,1565158729,1565158729,-0.013704062
1195813830,1565158729,1565158729,-0.003029823
1195813831,1565158729,1565158729,-0.012438059
